Exercise;Difficulty;Muscle_Group
Single_Arm_Clubbell_Inside_Circle;Intermediate;Abdominals
Alternating_Double_Clubbell_Inside_Circles;Intermediate;Abdominals
Clubbell_Inside_Circle;Intermediate;Abdominals
Clubbell_Alternating_Inside_Circle;Intermediate;Abdominals
Double_Clubbell_Side_Shoulder_Cast;Intermediate;Shoulders
Double_Clubbell_Side_Shoulder_Cast_to_Side_Flag_Press;Intermediate;Shoulders
Double_Clubbell_Swipe_to_Alternating_Reverse_Lunge_Side_Shoulder_Cast_to_Side_Flag_Press;Advanced;Shoulders
Clubbell_Swing_to_Alternating_Side_Shoulder_Park_Squat;Intermediate;Glutes
Double_Clubbell_Single_Leg_Standing_Bent_Knee_Side_Shoulder_Cast_to_Side_Flag_Press;Advanced;Shoulders
Clubbell_Clean_to_Barbarian_Squat;Intermediate;Quadriceps
Clubbell_Mill;Intermediate;Shoulders
Clubbell_Inside_Pendulum;Intermediate;Abdominals
Clubbell_Half_Kneeling_Shield_Cast;Intermediate;Shoulders
Clubbell_Half_Knee_Hover_Shield_Cast;Advanced;Shoulders
Clubbell_Single_Leg_Standing_Bent_Knee_Shield_Cast;Advanced;Shoulders
Double_Clubbell_Iron_Cross;Intermediate;Shoulders
Double_Clubbell_Half_Kneeling_Iron_Cross;Intermediate;Shoulders
Double_Clubbell_Half_Knee_Hover_Iron_Cross;Advanced;Shoulders
Double_Clubbell_Single_Leg_Standing_Bent_Knee_Iron_Cross;Advanced;Shoulders
Double_Kettlebell_Half_Snatch_to_Overhead_Press;Advanced;Shoulders
Double_Kettlebell_Half_Snatch_to_Front_Rack_Squat;Advanced;Shoulders
Clubbell_Alternating_Inside_Circles;Intermediate;Abdominals
Double_Clubbell_Alternating_Reverse_Lunge_Front_Flag_Press;Intermediate;Quadriceps
Clubbell_Gamma_Cast;Intermediate;Shoulders
Clubbell_Half_Kneeling_Gamma_Cast;Intermediate;Shoulders
Clubbell_Half_Knee_Hover_Gamma_Cast;Advanced;Shoulders
Clubbell_Single_Leg_Standing_Bent_Knee_Gamma_Cast;Advanced;Shoulders
Single_Arm_Clubbell_Pullover;Novice;Shoulders
Double_Clubbell_Pullover;Novice;Shoulders
Clubbell_Pullover;Novice;Shoulders
Clubbell_Side_Swing;Intermediate;Abdominals
Single_Arm_Clubbell_Side_Swing;Intermediate;Abdominals
Single_Arm_Clubbell_Inside_Pendulum;Intermediate;Abdominals
Double_Clubbell_Swipe;Intermediate;Glutes
Single_Arm_Clubbell_Swipe;Intermediate;Glutes
Single_Arm_Clubbell_Crossbody_Swipe;Intermediate;Abdominals
Macebell_Alternating_360_to_Front_Flag_Press;Advanced;Shoulders
Single_Arm_Clubbell_Inside_Circle_to_Shield_Cast;Advanced;Shoulders
Clubbell_Barbarian_Squat;Novice;Quadriceps
Single_Arm_Clubbell_Inside_Circle_to_Outside_Circle;Intermediate;Abdominals
Clubbell_Side_to_Side_Swing;Intermediate;Abdominals
Double_Clubbell_Barbarian_Squat;Novice;Quadriceps
Alternating_Single_Arm_Clubbell_Inside_Circle;Advanced;Abdominals
Single_Arm_Clubbell_Side_to_Side_Swing;Intermediate;Abdominals
Alternating_Single_Arm_Clubbell_Side_to_Side_Swing;Advanced;Abdominals
Clubbell_Alternating_Pendulum_to_Gamma_Cast;Advanced;Shoulders
Single_Arm_Clubbell_Single_Leg_Standing_Bent_Knee_Contralateral_Shield_Cast;Advanced;Shoulders
Double_Clubbell_Side_Flag_Press;Intermediate;Shoulders
Clubbell_Front_Flag_Press;Novice;Shoulders
Single_Arm_Clubbell_Inside_Circle_to_Front_Flag_Press;Intermediate;Shoulders
Single_Arm_Kettlebell_Bottoms_Up_Overhead_Adductor_Slide;Advanced;Adductors
Double_Clubbell_Order_Bulgarian_Split_Squat;Intermediate;Quadriceps
Barbell_Hang_Squat_Clean;Advanced;Quadriceps
Kettlebell_Single_Leg_Standing_Hip_Flexion;Intermediate;Hip_Flexors
Miniband_Supine_Alternating_Hip_Flexion;Beginner;Hip_Flexors
Double_Indian_Club_Inner_Heart_Shaped_Swing;Intermediate;Shoulders
Single_Arm_Indian_Club_Inner_Heart_Shaped_Swing;Novice;Shoulders
Alternating_Double_Indian_Club_Inner_Heart_Shaped_Swing;Intermediate;Shoulders
Double_Indian_Club_Crescent_Swing;Advanced;Shoulders
Single_Arm_Clubbell_Barbarian_Squat;Novice;Quadriceps
Single_Arm_Clubbell_Single_Leg_Standing_Bent_Knee_Ipsilateral_Shield_Cast;Advanced;Shoulders
Clubbell_Order_Cyclist_Squat;Intermediate;Quadriceps
Single_Arm_Clubbell_Order_Contralateral_Bulgarian_Split_Squat;Intermediate;Quadriceps
Alternating_Double_Clubbell_Side_Flag_Press;Intermediate;Shoulders
Single_Arm_Clubbell_Side_Flag_Press;Intermediate;Shoulders
Single_Arm_Clubbell_Side_Shoulder_Cast;Intermediate;Shoulders
Clubbell_Order_Squat;Beginner;Quadriceps
Single_Arm_Clubbell_Order_Ipsilateral_Bulgarian_Split_Squat;Intermediate;Quadriceps
Single_Arm_Clubbell_Order_Squat;Novice;Quadriceps
Double_Clubbell_Order_Squat;Novice;Quadriceps
Single_Arm_Macebell_Front_Swing_to_360;Advanced;Shoulders
Single_Arm_Ring_Dead_Hang;Novice;Back
Clubbell_Torch_Press;Novice;Shoulders
Single_Arm_Clubbell_Torch_Press;Novice;Shoulders
Double_Clubbell_Torch_Press;Novice;Shoulders
Alternating_Double_Clubbell_Torch_Press;Novice;Shoulders
Single_Arm_Clubbell_Front_Flag_Press;Novice;Shoulders
Double_Clubbell_Front_Flag_Press;Novice;Shoulders
Alternating_Double_Clubbell_Front_Flag_Press;Novice;Shoulders
Double_Indian_Club_Lateral_Internal_and_External_Rotations;Novice;Shoulders
Single_Arm_Indian_Club_Lateral_Internal_and_External_Rotation;Novice;Shoulders
Double_Indian_Club_Overhead_Arm_Circles;Novice;Shoulders
Double_Indian_Club_Lateral_Arm_Circles;Novice;Shoulders
Resistance_Band_Shoulder_Dislocates;Novice;Shoulders
Suspension_Reverse_Grip_Bicep_Curl;Novice;Forearms
Bulgarian_Bag_Side_to_Side_Swing;Intermediate;Abdominals
Barbell_Reverse_Grip_Bicep_Curl;Intermediate;Forearms
Cable_Straight_Bar_Reverse_Grip_Bicep_Curl;Novice;Forearms
Cable_Straight_Bar_Bicep_Curl;Beginner;Biceps
Clubbell_Clean;Novice;Glutes
Double_Clubbell_Clean;Novice;Glutes
Single_Arm_Clubbell_Clean;Novice;Glutes
Single_Arm_Clubbell_Reverse_Mill;Intermediate;Shoulders
Bulgarian_Bag_Spin;Advanced;Shoulders
Bulgarian_Bag_Alternating_Spin;Advanced;Shoulders
Bulgarian_Bag_Alternating_Spin_to_Side_Swing_Squat;Advanced;Shoulders
Bulgarian_Bag_Swipe;Intermediate;Glutes
Bulgarian_Bag_Snatch;Intermediate;Glutes
Bulgarian_Bag_Alternating_Rotational_Snatch;Advanced;Shoulders
Bulgarian_Bag_Alternating_Side_Swing_Squat;Advanced;Abdominals
Bulgarian_Bag_Clean;Intermediate;Glutes
Bulgarian_Bag_Swing;Novice;Glutes
Bulgarian_Bag_Front_Squat;Novice;Quadriceps
Bulgarian_Bag_Back_Squat;Novice;Quadriceps
Bulgarian_Bag_Swing_Squat;Advanced;Glutes
Bulgarian_Bag_Alternating_Forward_Lunge_with_Rotation;Intermediate;Quadriceps
Clubbell_Tall_Kneeling_Gamma_Cast;Intermediate;Shoulders
Clubbell_Tall_Kneeling_Shield_Cast;Intermediate;Shoulders
Single_Arm_Clubbell_Tall_Kneeling_Shield_Cast;Intermediate;Shoulders
Double_Clubbell_Swipe_to_Alternating_Shield_Cast;Advanced;Shoulders
Double_Clubbell_Order_Cyclist_Squat;Intermediate;Quadriceps
Single_Arm_Clubbell_Order_Cyclist_Squat;Intermediate;Quadriceps
Single_Arm_Clubbell_Mill;Intermediate;Shoulders
Double_Clubbell_Mill;Intermediate;Shoulders
Single_Arm_Cable_Reverse_Grip_Bicep_Curl;Novice;Forearms
Dumbbell_Goblet_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Kettlebell_Goblet_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Double_Kettlebell_Front_Rack_Cossack_Squat;Novice;Quadriceps
Double_Kettlebell_Front_Rack_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Double_Kettlebell_Bottoms_Up_Front_Rack_Low_Switch_Cossack_Squat;Advanced;Quadriceps
Double_Kettlebell_Bottoms_Up_Front_Rack_Cossack_Squat;Intermediate;Quadriceps
Double_Kettlebell_Overhead_Cossack_Squat;Intermediate;Quadriceps
Double_Kettlebell_Bottoms_Up_Overhead_Cossack_Squat;Advanced;Quadriceps
Double_Dumbbell_Front_Rack_Cossack_Squat;Novice;Quadriceps
Double_Dumbbell_Overhead_Alternating_Cossack_Squat;Intermediate;Quadriceps
Double_Dumbbell_Overhead_Cossack_Squat;Intermediate;Quadriceps
Double_Dumbbell_Low_Hold_Alternating_Cossack_Squat;Novice;Quadriceps
Double_Dumbbell_Low_Hold_Cossack_Squat;Novice;Quadriceps
Kettlebell_Low_Hold_Cossack_Squat;Novice;Quadriceps
Kettlebell_Low_Hold_Alternating_Cossack_Squat;Novice;Quadriceps
Suspension_Low_Switch_Cossack_Squat;Novice;Quadriceps
Suspension_Cossack_Squat;Beginner;Quadriceps
Single_Arm_Suspension_Alternating_Cossack_Squat;Beginner;Quadriceps
Single_Arm_Suspension_Cossack_Squat;Beginner;Quadriceps
Single_Arm_Suspension_Low_Switch_Cossack_Squat;Novice;Quadriceps
Suspension_Foot_Elevated_Cossack_Squat;Beginner;Quadriceps
Single_Arm_Suspension_Foot_Elevated_Cossack_Squat;Beginner;Quadriceps
Barbell_Overhead_Cossack_Squat;Advanced;Quadriceps
Barbell_Front_Rack_Low_Switch_Cossack_Squat;Advanced;Quadriceps
Barbell_Front_Rack_Foot_Elevated_Cossack_Squat;Advanced;Quadriceps
Barbell_Back_Rack_Low_Switch_Cossack_Squat;Advanced;Quadriceps
Barbell_Back_Rack_Foot_Elevated_Cossack_Squat;Advanced;Quadriceps
Barbell_Back_Rack_Cossack_Squat;Intermediate;Quadriceps
Barbell_Front_Rack_Cossack_Squat;Intermediate;Quadriceps
Landmine_Goblet_Cossack_Squat;Intermediate;Quadriceps
Landmine_Goblet_Low_Switch_Cossack_Squat;Advanced;Quadriceps
Landmine_Goblet_Foot_Elevated_Cossack_Squat;Advanced;Quadriceps
Landmine_Low_Hold_Cossack_Squat;Intermediate;Quadriceps
Landmine_Low_Hold_Low_Switch_Cossack_Squat;Advanced;Quadriceps
Landmine_Low_Hold_Foot_Elevated_Cossack_Squat;Advanced;Quadriceps
Dumbbell_Goblet_Cossack_Squat;Novice;Quadriceps
Dumbbell_Goblet_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Double_Dumbbell_Overhead_Low_Switch_Cossack_Squat;Advanced;Quadriceps
Double_Dumbbell_Overhead_Foot_Elevated_Cossack_Squat;Advanced;Quadriceps
Double_Dumbbell_Front_Rack_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Double_Dumbbell_Front_Rack_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Single_Arm_Dumbbell_Front_Rack_Cossack_Squat;Novice;Quadriceps
Single_Arm_Dumbbell_Front_Rack_Alternating_Cossack_Squat;Novice;Quadriceps
Single_Arm_Dumbbell_Front_Rack_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Single_Arm_Dummbell_Front_Rack_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Double_Dumbbell_Low_Hold_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Double_Dumbbell_Low_Hold_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Dumbbell_Low_Hold_Cossack_Squat;Novice;Quadriceps
Dumbbell_Low_Hold_Alternating_Cossack_Squat;Novice;Quadriceps
Dumbbell_Low_Hold_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Dumbbell_Low_Hold_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Single_Arm_Kettlebell_Front_Rack_Cossack_Squat;Novice;Quadriceps
Single_Arm_Kettlebell_Front_Rack_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Single_Arm_Kettlebell_Front_Rack_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Clubbell_Order_Alternating_Cossack_Squat;Novice;Quadriceps
Clubbell_Order_Cossack_Squat;Novice;Quadriceps
Clubbell_Order_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Clubbell_Order_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Double_Clubbell_Order_Alternating_Cossack_Squat;Novice;Quadriceps
Double_Clubbell_Order_Cossack_Squat;Novice;Quadriceps
Double_Clubbell_Order_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Double_Clubbell_Order_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Clubbell_Front_Flag_Hold_Cossack_Squat;Novice;Quadriceps
Clubbell_Front_Flag_Hold_Alternating_Cossack_Squat;Novice;Quadriceps
Clubbell_Front_Flag_Hold_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Clubbell_Front_Flag_Hold_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Double_Clubbell_Front_Flag_Hold_Cossack_Squat;Novice;Quadriceps
Double_Clubbell_Front_Flag_Hold_Alternating_Cossack_Squat;Novice;Quadriceps
Double_Clubbell_Front_Flag_Hold_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Double_Clubbell_Front_Flag_Hold_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Single_Arm_Clubbell_Order_Cossack_Squat;Novice;Quadriceps
Single_Arm_Clubbell_Order_Alternating_Cossack_Squat;Novice;Quadriceps
Single_Arm_Clubbell_Order_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Single_Arm_Clubbell_Order_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Single_Arm_Clubbell_Front_Flag_Hold_Cossack_Squat;Novice;Quadriceps
Single_Arm_Clubbell_Front_Flag_Hold_Alternating_Cossack_Squat;Novice;Quadriceps
Single_Arm_Clubbell_Front_Flag_Hold_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Single_Arm_Clubbell_Front_Flag_Hold_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Clubbell_Front_Flag_Hold_Cossack_Squat;Novice;Quadriceps
Clubbell_Front_Flag_Hold_Alternating_Cossack_Squat;Novice;Quadriceps
Clubbell_Front_Flag_Hold_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Clubbell_Front_Flag_Hold_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Double_Clubbell_Front_Flag_Hold_Cossack_Squat;Novice;Quadriceps
Double_Clubbell_Front_Flag_Hold_Alternating_Cossack_Squat;Novice;Quadriceps
Double_Clubbell_Front_Flag_Hold_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Double_Clubbell_Front_Flag_Hold_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Single_Arm_Clubbell_Order_Cossack_Squat;Novice;Quadriceps
Single_Arm_Clubbell_Order_Alternating_Cossack_Squat;Novice;Quadriceps
Single_Arm_Clubbell_Order_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Single_Arm_Clubbell_Order_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
Single_Arm_Clubbell_Front_Flag_Hold_Cossack_Squat;Novice;Quadriceps
Single_Arm_Clubbell_Front_Flag_Hold_Alternating_Cossack_Squat;Novice;Quadriceps
Single_Arm_Clubbell_Front_Flag_Hold_Low_Switch_Cossack_Squat;Intermediate;Quadriceps
Single_Arm_Clubbell_Front_Flag_Hold_Foot_Elevated_Cossack_Squat;Intermediate;Quadriceps
